Wed Feb  5 12:00:47 IST 2020 Deployed shards: 2 , replicas: 4
Wed Feb  5 12:15:53 IST 2020 Deployed shards: 2 , replicas: 4
Wed Feb  5 12:17:25 IST 2020 Deployed shards: 4 , replicas: 4
Wed Feb  5 12:21:21 IST 2020 Deployed shards: 2 , replicas: 8
Wed Feb  5 12:22:35 IST 2020 Deployed shards: 2 , replicas: 16
Wed Feb  5 12:53:12 IST 2020 Deployed shards: 1 , replicas: 16
Wed Feb  5 14:56:29 IST 2020 Deployed shards: 1 , replicas: 16
Wed Feb  5 15:05:57 IST 2020 Deployed shards: 1 , replicas: 16
Wed Feb  5 15:06:31 IST 2020 Deployed shards: 4 , replicas: 4
Wed Feb  5 15:17:53 IST 2020 Deployed shards: 2 , replicas: 4
Wed Feb  5 15:18:18 IST 2020 Deployed shards: 2 , replicas: 8
Wed Feb  5 15:25:32 IST 2020 Deployed shards: 2 , replicas: 4
Wed Feb  5 15:35:03 IST 2020 Deployed shards: 2 , replicas: 4
Wed Feb  5 15:35:58 IST 2020 Deployed shards: 2 , replicas: 4
Wed Feb  5 15:38:34 IST 2020 Deployed shards: 2 , replicas: 4
Wed Feb  5 15:39:29 IST 2020 Deployed shards: 2 , replicas: 4
Wed Feb  5 15:41:20 IST 2020 Deployed shards: 2 , replicas: 4
Wed Feb  5 15:44:40 IST 2020 Deployed shards: 4 , replicas: 4
Wed Feb  5 17:47:13 IST 2020 Deployed shards: 4 , replicas: 4
Wed Feb  5 17:50:28 IST 2020 Deployed shards: 2 , replicas: 4
Wed Feb  5 17:53:30 IST 2020 Deployed shards: 2 , replicas: 4
Wed Feb  5 18:06:11 IST 2020 Deployed shards: 2 , replicas: 4
Wed Feb  5 18:33:54 IST 2020 Deployed shards: 2 , replicas: 4
Wed Feb  5 18:37:50 IST 2020 Deployed shards: 2 , replicas: 8
Thu Feb  6 10:41:08 IST 2020 Deployed shards: 2 , replicas: 8
Thu Feb  6 10:43:39 IST 2020 Deployed shards: 1 , replicas: 8
Thu Feb  6 10:48:27 IST 2020 Deployed shards: 1 , replicas: 8
Thu Feb  6 10:49:54 IST 2020 Deployed shards: 2 , replicas: 8
Thu Feb  6 10:56:26 IST 2020 Deployed shards: 2 , replicas: 8
Thu Feb  6 10:59:12 IST 2020 Deployed shards: 2 , replicas: 8
Thu Feb  6 11:20:52 IST 2020 Deployed shards: 2 , replicas: 4
Thu Feb  6 11:23:39 IST 2020 Deployed shards: 2 , replicas: 4
Thu Feb  6 11:25:31 IST 2020 Deployed shards: 2 , replicas: 4
Thu Feb  6 11:26:46 IST 2020 Deployed shards: 2 , replicas: 4
Thu Feb  6 11:31:59 IST 2020 Deployed shards: 2 , replicas: 4
Thu Feb  6 11:36:49 IST 2020 Deployed shards: 2 , replicas: 4
Thu Feb  6 11:49:20 IST 2020 Deployed shards: 1 , replicas: 8
Thu Feb  6 11:50:46 IST 2020 Deployed shards: 1 , replicas: 8
Thu Feb  6 11:51:32 IST 2020 Deployed shards: 1 , replicas: 8
Thu Feb  6 12:00:22 IST 2020 Deployed shards: 1 , replicas: 1
Thu Feb  6 12:02:42 IST 2020 Deployed shards: 1 , replicas: 1
Thu Feb  6 12:04:34 IST 2020 Deployed shards: 1 , replicas: 1
Thu Feb  6 12:07:04 IST 2020 Deployed shards: 1 , replicas: 2
Thu Feb  6 12:08:32 IST 2020 Deployed shards: 1 , replicas: 2
Thu Feb  6 12:09:00 IST 2020 Deployed shards: 1 , replicas: 4
Thu Feb  6 12:09:15 IST 2020 Deployed shards: 1 , replicas: 4
